ticker,date,year,quarter,dailyreturn,volume,liquidity
ITD,11/7/2019,2019,4,0.0132,38410,553666.6667
ITD,11/8/2019,2019,4,-0.0131,26160,2260280.769
ITD,11/11/2019,2019,4,0.0093,8170,1519292.308
ITD,11/12/2019,2019,4,0.0000,7210,622554
ITD,11/13/2019,2019,4,0.0000,19510,1831340
ITD,11/14/2019,2019,4,0.0000,118240,4955540
ITD,11/15/2019,2019,4,0.0000,24520,9009888
ITD,11/18/2019,2019,4,-0.0197,17830,566189.0909
ITD,11/19/2019,2019,4,0.0000,17600,605409.5455
ITD,11/20/2019,2019,4,-0.0094,2220,691957.8947
ITD,11/21/2019,2019,4,0.0000,37500,234685.7143
ITD,11/22/2019,2019,4,0.0189,150,478448.2759
ITD,11/25/2019,2019,4,-0.0040,1100,16157.14286
ITD,11/26/2019,2019,4,0.0093,500,20652.5
ITD,11/27/2019,2019,4,0.0092,16450,0
ITD,11/28/2019,2019,4,0.0000,31450,898875
ITD,11/29/2019,2019,4,-0.0144,1010,829629.3103
ITD,12/2/2019,2019,4,0.0106,1100,95192.5
ITD,12/3/2019,2019,4,-0.0197,23060,55880
ITD,12/4/2019,2019,4,0.0000,31780,2460831.429
ITD,12/5/2019,2019,4,0.0094,420,3391380
ITD,12/6/2019,2019,4,0.0000,10,15080
ITD,12/9/2019,2019,4,-0.0186,1760,0
ITD,12/10/2019,2019,4,0.0000,34060,93028.57143
ITD,12/11/2019,2019,4,0.0095,11530,2100366.667
ITD,12/12/2019,2019,4,-0.0147,13740,615207.8571
ITD,12/13/2019,2019,4,-0.0095,91250,404505.6
ITD,12/16/2019,2019,4,0.0247,22950,2558509.615
ITD,12/17/2019,2019,4,-0.0187,35200,1224546.429
ITD,12/18/2019,2019,4,0.0000,31890,8600533.333
ITD,12/19/2019,2019,4,0.0000,2160,23375370
ITD,12/20/2019,2019,4,0.0000,3000,197910
ITD,12/23/2019,2019,4,0.0000,290,0
ITD,12/24/2019,2019,4,-0.0205,400,14171.33333
ITD,12/25/2019,2019,4,0.0209,3000,0
ITD,12/26/2019,2019,4,0.0000,4800,0
ITD,12/27/2019,2019,4,0.0000,10,0
ITD,12/30/2019,2019,4,-0.0409,5490,0
ITD,12/31/2019,2019,4,-0.0199,1220,133085.1724
ITD,1/2/2020,2020,1,0.0102,1650,28019.33333
ITD,1/3/2020,2020,1,0.0000,1070,31037.83784
ITD,1/6/2020,2020,1,0.0000,5390,33850.90909
ITD,1/7/2020,2020,1,0.0101,10,129360
ITD,1/8/2020,2020,1,0.0000,0,0
ITD,1/9/2020,2020,1,0.0000,82300,0
ITD,1/10/2020,2020,1,0.0000,220,8265271.429
ITD,1/13/2020,2020,1,-0.0100,4050,7030
ITD,1/14/2020,2020,1,-0.0101,49320,76183.78378
ITD,1/15/2020,2020,1,0.0000,8000,918418.3784
ITD,1/16/2020,2020,1,0.0000,24900,689000
ITD,1/17/2020,2020,1,0.0000,4000,2144512.5
ITD,1/20/2020,2020,1,0.0639,10,0
ITD,1/21/2020,2020,1,-0.0109,1360,0
ITD,1/22/2020,2020,1,-0.0097,130,0
ITD,1/30/2020,2020,1,0.0000,120,13334.28571
ITD,1/31/2020,2020,1,-0.0306,430,6154.285714
ITD,2/3/2020,2020,1,-0.0532,24760,0
ITD,2/4/2020,2020,1,0.0000,9060,2039605
ITD,2/5/2020,2020,1,0.0000,6770,205880.6897
ITD,2/6/2020,2020,1,-0.0167,9680,0
ITD,2/7/2020,2020,1,0.0170,7580,570240
ITD,2/10/2020,2020,1,0.0121,3820,227055.4545
ITD,2/11/2020,2020,1,0.0000,9110,318492.5
ITD,2/12/2020,2020,1,-0.0120,23340,276198.6364
